node_id,legacy_coord,role,physical_tier,domain,block,enabled_in_slam_v1,notes
0,"(0,0)",endpoint,T2,GPU,gpu_cluster,yes,"GPU endpoint; scheduler, SIMD and tensor control remain inside this cluster"
1,"(0,1)",router,T1,GPU,gpu_local_router,no,"GPU-side memory/NoC router"
2,"(0,2)",router,T1,SYSTEM,noc_router_02,no,"Abstract transit router"
3,"(0,3)",router,T1,SYSTEM,noc_router_03,no,"Abstract transit router; legacy coordinate only"
4,"(0,4)",router,T1,SYSTEM,noc_router_04,no,"Abstract transit router"
5,"(0,5)",router,T1,SYSTEM,noc_router_05,no,"Abstract transit router"
6,"(1,0)",gateway,T1,GPU,gpu_rf_l1_gateway,no,"Vertical landing and GPU local-memory gateway"
7,"(1,1)",router,T1,SYSTEM,noc_router_07,no,"Abstract transit router"
8,"(1,2)",router,T1,SYSTEM,noc_router_08,no,"Abstract transit router"
9,"(1,3)",router,T1,SYSTEM,noc_router_09,no,"Abstract transit router"
10,"(1,4)",router,T1,SYSTEM,noc_router_10,no,"Abstract transit router"
11,"(1,5)",router,T1,SYSTEM,noc_router_11,no,"Abstract transit router"
12,"(2,0)",router,T1,SYSTEM,noc_router_12,no,"Abstract transit router"
13,"(2,1)",memory,T1,SHARED,shared_sram_gateway,no,"Shared SRAM and noncoherent transfer gateway"
14,"(2,2)",router,T1,SYSTEM,noc_router_14,no,"Abstract transit router"
15,"(2,3)",router,T1,SYSTEM,noc_router_15,no,"Abstract transit router"
16,"(2,4)",router,T1,SYSTEM,noc_router_16,no,"Abstract transit router"
17,"(2,5)",router,T1,SYSTEM,noc_router_17,no,"Abstract transit router"
18,"(3,0)",endpoint,T2,NPU,npu_cluster,yes,"NPU endpoint; controller and command queue stay with MAC array"
19,"(3,1)",gateway,T1,NPU,npu_sram_gateway,no,"Vertical landing and NPU scratchpad gateway"
20,"(3,2)",router,T1,SYSTEM,noc_router_20,no,"Abstract transit router"
21,"(3,3)",router,T1,SYSTEM,noc_router_21,no,"Abstract transit router"
22,"(3,4)",directory,T1,CPU,cpu_directory_gateway,no,"CPU coherent-domain directory and shared-LLC gateway"
23,"(3,5)",router,T1,SYSTEM,noc_router_23,no,"Abstract transit router"
24,"(4,0)",router,T1,SYSTEM,noc_router_24,no,"Abstract transit router"
25,"(4,1)",router,T1,SYSTEM,noc_router_25,no,"Abstract transit router"
26,"(4,2)",router,T1,SYSTEM,noc_router_26,no,"Abstract transit router"
27,"(4,3)",router,T1,SYSTEM,noc_router_27,no,"Abstract transit router"
28,"(4,4)",gateway,T0,SYSTEM,hbm_gateway,no,"HBM-controller and system-memory gateway"
29,"(4,5)",gateway,T1,CPU,cpu_cache_gateway,no,"Vertical landing and CPU cache gateway"
30,"(5,0)",router,T1,SYSTEM,noc_router_30,no,"Abstract transit router"
31,"(5,1)",gateway,T0,SYSTEM,io_gateway,no,"PCIe/CXL and system-I/O gateway"
32,"(5,2)",router,T1,SYSTEM,noc_router_32,no,"Abstract transit router"
33,"(5,3)",router,T1,SYSTEM,noc_router_33,no,"Abstract transit router"
34,"(5,4)",router,T1,CPU,cpu_local_router,no,"CPU-side memory/NoC router"
35,"(5,5)",endpoint,T2,CPU,cpu_cluster,yes,"CPU endpoint; front-end, OoO cores and private L1/L2 remain together"
